path,r_1,r_1_angles,r_1_nfev
graphs/main/nodes_12/depth_3/236.gml,0.7886675308113706,[1.36890158 0.42625247],42
graphs/main/nodes_12/depth_3/237.gml,0.7857902712743,[-1.3495615  -2.35626403],30
graphs/main/nodes_12/depth_3/238.gml,0.8143326013219936,[ 2.96568587 -2.85537578],30
graphs/main/nodes_12/depth_3/239.gml,0.7199999999998943,[0.78539996 0.71718945],30
graphs/main/nodes_12/depth_3/240.gml,0.875607917038094,[0.15179291 1.31878898],96
graphs/main/nodes_12/depth_3/241.gml,0.7584602820424412,[ 1.39388172 -1.0065086 ],45
graphs/main/nodes_12/depth_3/242.gml,0.8280897688311591,[ 2.9707933  -2.86387237],30
graphs/main/nodes_12/depth_3/243.gml,0.7407407407397597,[ 0.78540201 -2.99852636],18
graphs/main/nodes_12/depth_3/244.gml,0.7349759630354161,[ 2.06157234 -2.79188054],75
graphs/main/nodes_12/depth_3/245.gml,0.7417307801201395,[1.45366795 1.21203618],42
graphs/main/nodes_12/depth_3/246.gml,0.822604891688068,[-0.20465961 -1.25229068],33
graphs/main/nodes_12/depth_3/247.gml,0.8473997510802088,[2.98158306 0.26488205],72
graphs/main/nodes_12/depth_3/248.gml,0.853763889561202,[ 2.96152044 -2.86034967],84
graphs/main/nodes_12/depth_3/249.gml,0.7782039184412896,[1.37105479 0.36519706],93
graphs/main/nodes_12/depth_3/250.gml,0.8135486834997601,[0.18853961 2.85127438],60
graphs/main/nodes_12/depth_3/251.gml,0.7241379310343216,[-0.78539647 -1.01941999],27
graphs/main/nodes_12/depth_3/252.gml,0.6964285712142623,[ 0.78465911 -3.10453654],36
graphs/main/nodes_12/depth_3/253.gml,0.8699840765036828,[-0.19634627  1.87348457],93
graphs/main/nodes_12/depth_3/254.gml,0.8005537040212046,[-2.95354647 -1.86989473],42
graphs/main/nodes_12/depth_3/255.gml,0.8292829697673673,[-2.96511723 -0.27940853],66
graphs/main/nodes_12/depth_3/256.gml,0.8512683275696086,[-0.19164963  0.29360673],57
graphs/main/nodes_12/depth_3/257.gml,0.6650486667866511,[ 1.28230536 -0.86492578],39
graphs/main/nodes_12/depth_3/258.gml,0.7740247038072522,[-1.80125393 -0.43788362],24
graphs/main/nodes_12/depth_3/259.gml,0.7994302668583635,[ 1.40312075 -0.33870973],27
graphs/main/nodes_12/depth_3/260.gml,0.7584650562354788,[1.35113131 0.43651041],63
graphs/main/nodes_12/depth_3/261.gml,0.7194772166076798,[-1.38745979 -1.92746873],36
graphs/main/nodes_12/depth_3/262.gml,0.748838702908064,[1.35734916 1.17020798],24
graphs/main/nodes_12/depth_3/263.gml,0.7189562831430353,[1.32586107 1.20161592],27
graphs/main/nodes_12/depth_3/264.gml,0.789357793633034,[-1.77098533 -0.39544318],42
graphs/main/nodes_12/depth_3/265.gml,0.7669817122914084,[-1.36687337 -0.85049129],39
graphs/main/nodes_12/depth_3/266.gml,0.8591251137827424,[-2.97051529 -0.27981793],57
graphs/main/nodes_12/depth_3/267.gml,0.701674581291189,[ 1.41001609 -0.4285622 ],24
graphs/main/nodes_12/depth_3/268.gml,0.8065183259154034,[-2.96112603  1.2821585 ],60
graphs/main/nodes_12/depth_3/269.gml,0.8300583446283687,[ 2.94790715 -2.84469074],30
graphs/main/nodes_12/depth_3/270.gml,0.6999999999969978,[ 0.78536895 -3.02566446],27
graphs/main/nodes_12/depth_3/271.gml,0.7299568886944107,[-1.35288391 -0.76818408],54
graphs/main/nodes_12/depth_3/272.gml,0.7499999999999719,[-0.78539849 -1.0152717 ],18
graphs/main/nodes_12/depth_3/273.gml,0.8420158038838848,[ 2.97557061 -2.87115058],21
graphs/main/nodes_12/depth_3/274.gml,0.6896551724125909,[-0.785391   -1.25953767],42
graphs/main/nodes_12/depth_3/275.gml,0.8330421921902798,[-2.96259405 -0.28414246],69
graphs/main/nodes_12/depth_3/276.gml,0.766454701074277,[-1.75976862 -0.82068543],66
graphs/main/nodes_12/depth_3/277.gml,0.7425786224348345,[ 0.86193479 -2.34863281],45
graphs/main/nodes_12/depth_3/278.gml,0.7998692455165627,[-1.7715699  -2.29666827],45
graphs/main/nodes_12/depth_3/279.gml,0.8316879752301782,[-0.1634057  -1.30142104],42
graphs/main/nodes_12/depth_3/280.gml,0.6994843686799103,[-1.43420549 -0.42816942],30
graphs/main/nodes_12/depth_3/281.gml,0.8180750889575288,[-2.98306736  1.30911052],54
graphs/main/nodes_12/depth_3/282.gml,0.729580943403558,[1.11907766 1.21259461],21
graphs/main/nodes_12/depth_3/283.gml,0.7985326502490384,[ 1.34453698 -0.7387841 ],33
graphs/main/nodes_12/depth_3/284.gml,0.8221376102341962,[ 2.95312254 -2.85355615],27
graphs/main/nodes_12/depth_3/285.gml,0.7483516478111373,[-1.37645825 -2.16499273],33
graphs/main/nodes_12/depth_3/286.gml,0.7147460290552708,[ 2.03193202 -1.7813632 ],36
graphs/main/nodes_12/depth_3/287.gml,0.7691552085147508,[ 1.36265187 -0.61015391],30
graphs/main/nodes_12/depth_3/288.gml,0.7840477767708643,[1.37582277 0.38784694],45
